epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,2370.49,0.89629,0.38774,1.00017,0.95502,0.97211,0.96858,0.66896,1.16794,0.43319,1.08151,0.000953657,0.000953657,0.000953657
170,2381.06,0.89608,0.39066,0.98744,0.95648,0.97689,0.96809,0.68087,1.16455,0.43941,1.08103,0.000950828,0.000950828,0.000950828
171,2392.45,0.89482,0.39044,0.99586,0.94796,0.97539,0.97369,0.68279,1.16652,0.44259,1.08246,0.000947999,0.000947999,0.000947999
172,2403.28,0.89147,0.38825,1.00102,0.96177,0.96789,0.97014,0.67987,1.17653,0.42644,1.09016,0.000945169,0.000945169,0.000945169
173,2414.66,0.89757,0.39404,0.99597,0.94568,0.97943,0.97056,0.67779,1.18856,0.44524,1.09807,0.00094234,0.00094234,0.00094234
174,2425.86,0.88279,0.39112,0.98973,0.95727,0.98056,0.97052,0.69273,1.17239,0.42332,1.086,0.00093951,0.00093951,0.00093951
175,2436.92,0.88057,0.39376,0.99573,0.96422,0.97095,0.97471,0.68953,1.17338,0.42019,1.08565,0.000936681,0.000936681,0.000936681
176,2448.98,0.90068,0.39483,0.99849,0.94946,0.98316,0.97159,0.67697,1.19404,0.42939,1.09201,0.000933851,0.000933851,0.000933851
177,2460.91,0.87906,0.38485,0.98738,0.96331,0.9558,0.97773,0.67828,1.19346,0.43915,1.10071,0.000931022,0.000931022,0.000931022
178,2472.24,0.87539,0.37796,0.98012,0.95207,0.969,0.97886,0.68009,1.2127,0.43933,1.11333,0.000928193,0.000928193,0.000928193
179,2483.03,0.86492,0.37458,0.9838,0.94822,0.97931,0.9678,0.68042,1.1887,0.42877,1.1007,0.000925363,0.000925363,0.000925363
180,2493.98,0.88759,0.37724,0.99261,0.95951,0.96897,0.97127,0.68735,1.19474,0.41164,1.09648,0.000922534,0.000922534,0.000922534
181,2505.46,0.8734,0.37976,0.97825,0.95234,0.98007,0.97411,0.68559,1.2068,0.41775,1.10006,0.000919704,0.000919704,0.000919704
